Selection	View	Channel	Begin Time (s)	End Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species	Ship?	Ship Size	Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
213	Spectrogram 1	1	178.793000000	179.280810000	178.7930	120.200	865.700	DS3B__0__20180824_210354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180824_210354.wav	Y	bark		RS				X	1	0	X	B	-	Too faint
217	Spectrogram 1	1	399.946000000	400.360640000	136.9460	138.300	643.300	DS3B__0__20180825_000354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180825_000354.wav	Y	bark	"quite masked, but still visible"	RS			Bark	X	1	0	X	B	-	Too faint
219	Spectrogram 1	1	672.841000000	673.219050000	146.8410	384.800	1142.300	DS3B__0__20180825_010354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180825_010354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	Borderline too faint
223	Spectrogram 1	1	891.537000000	891.772758902	102.5370	336.700	853.700	DS3B__0__20180825_050354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180825_050354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	Borderline too faint
254	Spectrogram 1	1	1283.817000000	1284.207250000	231.8170	72.100	390.800	DS3B__0__20180826_070354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180826_070354.wav	Y	bark	quite masked but still visible	RS				X	1	0	X	B	-	Too faint
311	Spectrogram 1	1	1396.388300000	1397.110843352	81.3883	126.300	781.600	DS3B__0__20180901_050354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180901_050354.wav	Y	"bark, yelp"	very close together yelp-bark	RS				Y	1	1	X	BY	-	
316	Spectrogram 1	1	1615.598000000	1617.390680000	37.5980	168.300	2840.336	DS3B__0__20180901_150354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180901_150354.wav	Y	"bark, yelp"	Yelp-yelp-bark	RS			Yelp-yelp-bark - very clearn	Y	1	2	X	BY	-	
317	Spectrogram 1	1	2018.878000000	2019.182880000	177.8780	138.300	1058.100	DS3B__0__20180901_180354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180901_180354.wav	Y	bark	WH. High background noise	RS			Bark	X	1	0	X	B	-	Too faint
334	Spectrogram 1	1	2150.104000000	2150.652700000	46.1040	141.300	748.500	DS3B__0__20180903_170354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180903_170354.wav	Y	bark	WH. High background noise.	RS			Bark	X	1	0	X	B	-	Too faint
335	Spectrogram 1	1	2419.549000000	2419.975800000	52.5490	138.300	721.400	DS3B__0__20180903_180354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180903_180354.wav	Y	bark	WH	RS				Y	1	0	X	B	-	Borderline too faint
336	Spectrogram 1	1	2655.366000000	2655.926900000	25.3660	84.200	625.300	DS3B__0__20180903_200354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180903_200354.wav	Y	bark	WH	RS				X	1	0	X	B	-	Too faint
344	Spectrogram 1	1	2956.585000000	2959.353300000	63.5850	0.000	1448.900	DS3B__0__20180905_000354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180905_000354.wav	Y	"bark, yelp"	Clear Yelp-bark sequence	RS			Yelp-bark sequence	X	-	-	-	-	-	S
351	Spectrogram 1	1	3169.586300000	3170.036361272	13.5863	144.300	505.000	DS3B__0__20180907_050354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180907_050354.wav	Y	bark	WH	RS				Y	1	0	X	B	-	Borderline too faint
371	Spectrogram 1	1	3514.471000000	3514.868398844	95.4710	58.824	1304.600	DS3B__0__20180910_100354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180910_100354.wav	Y	bark	clear	RS			Bark - clear	Y	1	0	X	B	-	Good
447	Spectrogram 1	1	3834.793000000	3835.499341040	152.7930	162.300	601.200	DS3B__0__20180917_100354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20180917_100354.wav	Y	bark	In background noise	RS			Barks	X	3	0	X	B	-	Too faint
593	Spectrogram 1	1	3995.842000000	3996.098100000	50.8420	174.300	829.700	DS3B__0__20181011_020354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181011_020354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	Surrounding has some quiet unannotated barks
594	Spectrogram 1	1	4382.976000000	4383.793100000	174.9760	138.300	1160.300	DS3B__0__20181011_060354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181011_060354.wav	Y	bark	Loud	RS			Barks	Y	2	0	X	B	-	Good
601	Spectrogram 1	1	4710.456400000	4710.780482370	239.4564	168.300	973.900	DS3B__0__20181011_150354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181011_150354.wav	Y	bark	very clear	RS			Bark - very clear	Y	1	0	X	B	-	Good
608	Spectrogram 1	1	4935.793000000	4938.671000000	201.7930	84.200	1076.200	DS3B__0__20181012_110354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181012_110354.wav	Y	"bark, yelp"	In ambient noise. Yelp-Bark combo - clear	RS			Yelp-Bark combo - clear	X	-	-	-	-	-	S
610	Spectrogram 1	1	5247.642100000	5248.012208671	250.6421	288.600	1112.200	DS3B__0__20181012_130354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181012_130354.wav	Y	bark	Bark	RS			Bark	Y	1	0	X	B	-	Borderline too faint
613	Spectrogram 1	1	5495.402000000	5495.670300000	235.4020	42.100	913.800	DS3B__0__20181012_140354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181012_140354.wav	Y	bark	Bark - clear	RS			Bark - clear	Y	1	0	X	B	-	Borderline too faint
614	Spectrogram 1	1	5514.951000000	5517.829100000	254.9510	180.400	998.000	DS3B__0__20181012_140354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181012_140354.wav	Y	bark	Barks	RS			Barks	X	-	-	-	-	-	S
649	Spectrogram 1	1	5760.659000000	5762.171200000	237.6590	192.400	1442.900	DS3B__0__20181014_040354.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181014_040354.wav	Y	bark	in ambient noise	RS			Barks	X	-	-	-	-	-	S
