Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	WH ID_NEW	WH Comment_NEW	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
5	Spectrogram 1	1	145.251000000	158.725770000	13.4748	145.2510	46.000	1194.700	DS3B__0__20181101_060355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_060355.wav	Y	"bark, yelp"	series. A bit faint but visible	RS	3	series	No							X	-	-	-	-	S	
12	Spectrogram 1	1	436.229187568	436.777391727	0.5482	174.2292	65.600	1680.500	DS3B__0__20181101_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_080355.wav	Y	"bark, yelp"	good	RS	3	2	No		good					Y	2	2	X	BY	-	
13	Spectrogram 1	1	431.115957779	431.966619405	0.8507	169.1160	59.100	1641.100	DS3B__0__20181101_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_080355.wav	Y	"bark, yelp"	good	RS	3	3	No		good					Y	3	3	X	BY	-	
18	Spectrogram 1	1	729.217000000	733.330120000	4.1131	205.2170	118.200	1372.000	DS3B__0__20181101_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181101_160355.wav	Y	"bark, yelp"	good one	RS	3	series	No		good one					X	-	-	-	-	S	
48	Spectrogram 1	1	876.466000000	905.809650000	29.3437	90.4660	91.900	1470.500	DS3B__0__20181102_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_140355.wav	Y	"bark, yelp"	good	RS	3	series	No		good					X	-	-	-	-	S	
50	Spectrogram 1	1	1302.922000000	1305.171360000	2.2494	254.9220	118.200	919.000	DS3B__0__20181102_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181102_180355.wav	Y	bark		RS	3	4	No							X	-	-	-	-	S	
55	Spectrogram 1	1	1483.973124682	1484.181064190	0.2079	173.9731	164.100	1109.400	DS3B__0__20181103_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181103_000355.wav	Y	bark	faint	RS	3	1	No							Y	1	0	X	B	-	FAINT
58	Spectrogram 1	1	1448.954432848	1449.647564543	0.6931	138.9544	157.500	1194.700	DS3B__0__20181103_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181103_000355.wav	Y	bark		RS	3	2	No							Y	3	0	X	B	-	
65	Spectrogram 1	1	1722.304000000	1723.953530000	1.6495	150.3040	163.000	1232.600	DS3B__0__20181103_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181103_140355.wav	Y	"bark, yelp"		RS	3	2	No							X	-	-	-	-	S	
67	Spectrogram 1	1	1914.584000000	1918.397210000	3.8132	80.5840	391.300	1473.900	DS3B__0__20181103_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181103_200355.wav	Y	"bark, yelp"	a bark at the beginning of the selection	RS	3	5	No							X	-	-	-	-	S	
69	Spectrogram 1	1	2343.396022990	2343.603962498	0.2079	247.3960	58.700	939.100	DS3B__0__20181104_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181104_000355.wav	Y	bark	very faint	RS	3	2	No							Y	1	0	X	B	-	
70	Spectrogram 1	1	2208.517891443	2208.757336938	0.2394	112.5179	169.811	1239.100	DS3B__0__20181104_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181104_000355.wav	Y	bark		RS	2	1	No							Y	1	0	X	B	-	
77	Spectrogram 1	1	2498.336979045	2498.778062851	0.4411	140.3370	52.200	1265.200	DS3B__0__20181104_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181104_140355.wav	Y	bark	closer to recorder	RS	3	2	No		closer to recorder					Y	1	0	X	B	-	
80	Spectrogram 1	1	2830.927517779	2831.759275813	0.8318	210.9275	150.000	1982.600	DS3B__0__20181104_220355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181104_220355.wav	Y	"bark, yelp"	"good one, 1x yelp-2barks"	RS	3	3	No		"good one, 1x yelp-2barks"					Y	2	2	X	BY	-	
81	Spectrogram 1	1	2923.969059471	2924.233709754	0.2647	41.9691	19.600	1050.000	DS3B__0__20181105_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181105_000355.wav	Y	bark	good	RS	3	1	No							Y	1	0	X	B	-	
85	Spectrogram 1	1	3238.910000000	3244.115670000	5.2057	94.9100	137.000	1395.700	DS3B__0__20181105_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181105_080355.wav	Y	"bark, yelp"	good series. yelps-barks	RS	3	series	No		yelps-barks		Very clear barks			X	-	-	-	-	S	
86	Spectrogram 1	1	3200.108000000	3202.678700000	2.5707	56.1080	163.000	1141.300	DS3B__0__20181105_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181105_080355.wav	Y	"bark, yelp"	yelp-bark	RS	3	2	No		yelp-bark					X	-	-	-	-	S	
91	Spectrogram 1	1	3227.789000000	3229.717030000	1.9280	83.7890	110.900	1343.500	DS3B__0__20181105_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181105_080355.wav	Y	"bark, yelp"	good one	RS	3	4	No		good one					X	-	-	-	-	S	
92	Spectrogram 1	1	3159.408000000	3166.113250000	6.7052	15.4080	208.700	2556.500	DS3B__0__20181105_080355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181105_080355.wav	Y	"bark, yelp"	faint	RS	3	series	No							X	-	-	-	-	S	
94	Spectrogram 1	1	3627.931000000	3630.973000000	3.0420	221.9310	78.300	1213.000	DS3B__0__20181105_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181105_120355.wav	Y	bark		RS	3	3	No							X	-	-	-	-	S	
95	Spectrogram 1	1	3590.763764893	3590.965403204	0.2016	184.7638	104.300	1128.300	DS3B__0__20181105_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181105_120355.wav	Y	bark	bark	RS	3	1	No		bark					Y	1	0	X	B	-	
101	Spectrogram 1	1	3753.007624049	3753.253370740	0.2457	85.0076	32.600	412.399	DS3B__0__20181105_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181105_140355.wav	Y	bark	faint	RS	2	1	No							Y	1	0	X	B	-	
104	Spectrogram 1	1	3686.402000000	3688.008690000	1.6067	18.4020	91.300	1187.000	DS3B__0__20181105_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181105_140355.wav	Y	bark	faint	RS	3	2	No							X	-	-	-	-	S	
114	Spectrogram 1	1	4092.120674682	4092.297108204	0.1764	162.1207	143.500	897.574	DS3B__0__20181106_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181106_000355.wav	Y	bark		RS	2	1	No			RS				Y	1	0	X	B	-	
116	Spectrogram 1	1	4146.288000000	4148.237450000	1.9495	216.2880	97.800	704.300	DS3B__0__20181106_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181106_000355.wav	Y	bark	faint	RS	3	1	No		faint					X	1	1	X	BY	-	Too faint
119	Spectrogram 1	1	4357.573000000	4360.764950000	3.1920	165.5730	189.100	789.100	DS3B__0__20181106_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181106_100355.wav	Y	bark		RS	3	4	No							X	-	-	-	-	S	
121	Spectrogram 1	1	4432.352198485	4432.591643979	0.2394	240.3522	260.900	1115.200	DS3B__0__20181106_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181106_100355.wav	Y	bark		RS	2	1	No							Y	1	0	X	B	-	Faint
133	Spectrogram 1	1	4674.115339329	4674.367387218	0.2520	220.1153	97.800	756.500	DS3B__0__20181106_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181106_160355.wav	Y	bark	faint	RS	2	2	No		faint					X	1	0	X	B	-	Too faint
134	Spectrogram 1	1	4944.840000000	4955.486990000	10.6470	228.8400	52.200	1265.200	DS3B__0__20181106_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181106_180355.wav	Y	"bark, yelp"	good	RS	3	series	No		good					X	-	-	-	-	S	
142	Spectrogram 1	1	5168.589000000	5171.373930000	2.7849	190.5890	58.700	1173.900	DS3B__0__20181107_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181107_160355.wav	Y	bark		RS	3	2	No							X	-	-	-	-	S	
144	Spectrogram 1	1	5245.456603273	5245.714952360	0.2583	5.4566	97.800	1037.000	DS3B__0__20181107_180355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20181107_180355.wav	Y	bark	bark	RS	3	1	No		bark					Y	1	0	X	B	-	
