Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Species_ID	Validation#	No.of_Calls	Ship_Noise	Ship_Size	Comments	WH ID	WH Comment	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment
1	Spectrogram 1	1	153.014000000	166.888752000	13.8748	153.0140	60.900	927.800	DS3B__0__20190101_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190101_000355.wav	Y	"bark, yelp"		RS	3	series	No		yelps-bark			X	-	-	-	-	S	
56	Spectrogram 1	1	352.427503704	352.853899753	0.4264	90.4275	67.700	988.700	DS3B__0__20190105_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190105_140355.wav	Y	bark	faint	RS	2	1	No		faint			X	1	0	X	B	-	Too faint
58	Spectrogram 1	1	684.312000000	725.109660000	40.7977	160.3120	121.900	1598.200	DS3B__0__20190106_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190106_000355.wav	Y	"bark, yelp"	the barks are faint	RS	3	series	No		yelps-barks			X	-	-	-	-	S	
70	Spectrogram 1	1	889.340929950	889.969070653	0.6281	103.3409	155.800	1252.800	DS3B__0__20190107_160355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190107_160355.wav	Y	"bark, yelp"		RS	3	1	No					Y	1	1	X	BY	-	
71	Spectrogram 1	1	1127.745000000	1128.253124423	0.5081	79.7450	88.000	1063.200	DS3B__0__20190108_100355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190108_100355.wav	Y	bark	very faint	RS	1*	1	No			RS		X	1	0	X	B	-	Too faint
74	Spectrogram 1	1	1455.945104347	1456.372240025	0.4271	145.9451	47.400	1618.500	DS3B__0__20190109_000355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190109_000355.wav	Y	bark		RS	3	1	No		bark			Y	1	0	X	B	-	Not convinced this is a bark, but previous annotations say it is 
85	Spectrogram 1	1	1771.180000000	1774.072040000	2.8920	199.1800	95.500	675.000	DS3B__0__20190110_120355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190110_120355.wav	Y	bark		RS	3	2	No		"2x bark, faint"			X	-	-	-	-	S	
92	Spectrogram 1	1	1973.211984322	1973.990878794	0.7789	139.2120	61.400	763.600	DS3B__0__20190110_140355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190110_140355.wav	Y	bark	faint	RS	1*	1	No			RS		X	1	0	X	B	-	Too faint
100	Spectrogram 1	1	2108.918000000	2109.560680000	0.6427	12.9180	105.700	900.000	DS3B__0__20190110_200355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190110_200355.wav	Y	bark	faint	RS	2*	1	No			RS		X	1	0	X	B	-	Not convinced this is a bark
106	Spectrogram 1	1	2358.300000000	2363.891270000	5.5913	0.3000	68.200	1915.900	DS3B__0__20190111_040355.wav	D:\ringed-seal-data\Kitikmeot_2018_2019\DS3B__0__20190111_040355.wav	Y	bark	"good, close"	RS	3	2	No		"good, close"			X	-	-	-	-	S	
