Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Freq (Hz)	Delta Time (s)	Peak Freq (Hz)	File Offset (s)	Begin File	Begin Path	SNR NIST Quick (dB)	Keep for detector? Y/X	Call type	AR comment	species	certainty	comment	type	WH ID	WH Comment	NEW analysis	KZ Keep? (Y/X/M)	Barks (KZ)	Yelps (KZ)	Overlap (Y/X) (KZ)	Call Type (KZ)	Split From (KZ)	KZ Comment	Bill Check (KZ)
340	Spectrogram 1	1	294.409	294.7504	134.5	937.3	802.8	0.3414	199.219	294.409	1208234033.020512082219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020512082219.wav	16.14	Y	bark		RS		?		RS			Y	1	0	X	B	-		
343	Spectrogram 1	1	520.2816667	527.1821667	144.9	863.2	718.3	6.9005	498.047	220.433	1208234033.020513042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020513042219.wav	13.45	Y	bark	series	RS				RS			X	-	-	-	-	S		
514	Spectrogram 1	1	707.1254171	708.7585829	284.3	1352	1067.7	1.6332	556.641	107.4374	1208234033.020625022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020625022219.wav	13.39	Y	bark	are those barks or yelps?	RS	medium			Y			Y	6	2	X	BY	-	FAINT	
562	Spectrogram 1	1	1180.537333	1183.374333	144.8	1361	1216.2	2.837	146.484	281.002	1208234033.020711082219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020711082219.wav	13.94	Y	"bark, yelp"		RS							X	-	-	-	-	S		
565	Spectrogram 1	1	1443.576746	1443.853128	57.9	1135.1	1077.2	0.2764	64.453	244.1517	1208234033.020712042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020712042219.wav	17.4	Y	bark		RS				Y			Y	1	0	X	B	-	FAINT	
704	Spectrogram 1	1	1535.896667	1538.812667	110	920.8	810.8	2.916	410.156	36.536	1208234033.020813062219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813062219.wav	14.5	Y	bark	very faint. I can't hear.	RS				Y			X	-	-	-	-	S		
708	Spectrogram 1	1	1828.524667	1837.874667	260.6	996.1	735.5	9.35	392.578	29.311	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	12.55	Y	bark	"I think it's a yes, but I can't hear them."	RS				Y			X	-	-	-	-	S		
709	Spectrogram 1	1	1843.020667	1845.571667	86.9	1140.9	1054	2.551	152.344	43.807	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	15.75	Y	bark		RS							Y	-	-	-	-	S		
781	Spectrogram 1	1	2108.075667	2112.518667	69.5	1158.3	1088.8	4.443	152.344	8.91	1208234033.020818172219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020818172219.wav	15.74	Y			RS				RS			X	-	-	-	-	S		
783	Spectrogram 1	1	2123.781667	2126.114667	133.2	839.8	706.6	2.333	205.078	24.616	1208234033.020818172219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020818172219.wav	14.21	Y	"bark, yelp"		RS				RS			X	-	-	-	-	S		
784	Spectrogram 1	1	2127.787667	2129.035667	162.2	990.3	828.1	1.248	199.219	28.622	1208234033.020818172219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020818172219.wav	14.29	Y	bark		RS				RS			X	-	-	-	-	S		
1488	Spectrogram 1	1	2605.882667	2606.964667	151.8	1882.2	1730.4	1.082	451.172	206.796	1208234033.020825062219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020825062219.wav	12	Y	bark		RS							X	2	0	Y	B	-	Overlapping species and v quiet	
1513	Spectrogram 1	1	2735.639476	2735.92842	325.3	1000	674.7	0.2889	439.453	36.6238	1208234033.020825082219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020825082219.wav	12.37	Y	bark		RS							Y	1	0	X	B	-		
1646	Spectrogram 1	1	3220.347333	3223.216333	48.2	885.5	837.3	2.869	222.656	221.441	1208234033.020831142219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020831142219.wav	15.34	Y	bark		RS							X	-	-	-	-	S		
1656	Spectrogram 1	1	3359.117	3375.841	153.3	1669.8	1516.5	16.724	158.203	60.289	1208234033.020903022219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020903022219.wav	14.43	Y	"bark, yelp"		RS							X	-	-	-	-	S		
1668	Spectrogram 1	1	3684.645667	3696.076667	85.2	1180.7	1095.5	11.431	87.891	85.835	1208234033.020905142219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020905142219.wav	13.57	Y	"bark, yelp"	faint	RS							X	-	-	-	-	S		
1743	Spectrogram 1	1	3969.668	3978.001	108.4	488	379.6	8.333	246.094	70.966	1208234033.020908122219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020908122219.wav	13.34	Y	bark	"I think yes, but I can't hear them"	RS				Y			X	-	-	-	-	S		
3546	Spectrogram 1	1	4312.621861	4313.49242	95.7	273.4	177.7	0.8706	175.781	113.9512	1208234033.021128082219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.021128082219.wav	10.8	Y	bark		RS				RS			Y	3	0	X	B	-		
5681	Spectrogram 1	1	4758.540667	4758.797349	216.2	1139.7	923.5	0.2567	357.422	259.936	1208234033.021207082219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.021207082219.wav	12.35	Y			RS				RS		yes	Y	1	0	X	B	-		
5722	Spectrogram 1	1	4856.460667	4856.665956	61.2	1369.2	1308	0.2053	76.172	57.923	1208234033.020419202219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020419202219.wav	13.7	Y	bark									Y	1	0	X	B	-		
5723	Spectrogram 1	1	520.3588011	520.4718664	36.145	679.518	643.373	0.1131	46.875	220.5101	1208234033.020513042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020513042219.wav	13.23											X	1	0	X	B	343	Too faint	
5724	Spectrogram 1	1	521.5208614	521.7218664	65.06	809.639	744.578	0.201	82.031	221.6722	1208234033.020513042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020513042219.wav	16.28											X	1	0	X	B	343	Too faint	
5725	Spectrogram 1	1	523.8575448	524.0836755	50.602	838.554	787.952	0.2261	58.594	224.0089	1208234033.020513042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020513042219.wav	15.49											Y	1	0	X	B	343		
5726	Spectrogram 1	1	524.1339267	524.3223689	57.831	845.783	787.952	0.1884	64.453	224.2852	1208234033.020513042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020513042219.wav	15.41											Y	1	0	X	B	343		
5727	Spectrogram 1	1	524.5359368	524.7055348	21.687	954.217	932.53	0.1696	23.438	224.6873	1208234033.020513042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020513042219.wav	16.77											Y	1	0	X	B	343		
5728	Spectrogram 1	1	524.8625699	525.0510121	36.145	1084.337	1048.193	0.1884	46.875	225.0139	1208234033.020513042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020513042219.wav	16.25											Y	1	0	X	B	343		
5729	Spectrogram 1	1	526.0120674	526.2193539	7.229	1004.819	997.59	0.2073	11.719	226.1634	1208234033.020513042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020513042219.wav	18.92											Y	1	0	X	B	343		
5730	Spectrogram 1	1	526.4706101	526.6590523	21.687	1012.048	990.361	0.1884	23.438	226.6219	1208234033.020513042219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020513042219.wav	17.57											Y	1	0	X	B	343		
5731	Spectrogram 1	1	1180.611612	1181.478446	216.867	1568.675	1351.807	0.8668	1107.422	281.0763	1208234033.020711082219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020711082219.wav	13.37											Y	1	3	X	BY	562		
5732	Spectrogram 1	1	1181.6292	1181.792517	0	983.133	983.133	0.1633	5.859	282.0939	1208234033.020711082219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020711082219.wav	20.5											Y	1	0	X	B	562		
5733	Spectrogram 1	1	1182.062617	1182.244778	7.229	1040.964	1033.735	0.1822	11.719	282.5273	1208234033.020711082219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020711082219.wav	16.75											Y	1	0	X	B	562		
5734	Spectrogram 1	1	1182.841512	1182.998547	383.133	1272.289	889.157	0.157	386.719	283.3062	1208234033.020711082219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020711082219.wav	23.93											X	1	0	Y	B	562	Overlap w noise	
5735	Spectrogram 1	1	1536.110948	1536.374767	57.831	1055.422	997.59	0.2638	64.453	36.7503	1208234033.020813062219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813062219.wav	16.99											Y	1	0	X	B	704		
5736	Spectrogram 1	1	1536.889843	1537.14738	57.831	1120.482	1062.651	0.2575	58.594	37.5292	1208234033.020813062219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813062219.wav	16.53											Y	1	0	X	B	704		
5737	Spectrogram 1	1	1538.416224	1538.661199	28.916	1069.88	1040.964	0.245	29.297	39.0556	1208234033.020813062219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813062219.wav	14.89											Y	1	0	X	B	704		
5738	Spectrogram 1	1	1829.920772	1830.109214	195.181	607.229	412.048	0.1884	392.578	30.7071	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	13.32											Y	1	0	X	B	708	FAINT	
5739	Spectrogram 1	1	1828.545144	1828.677054	130.12	1359.036	1228.916	0.1319	398.438	29.3315	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	13.47											Y	1	0	X	B	708	FAINT	
5740	Spectrogram 1	1	1828.846652	1829.003687	144.578	1265.06	1120.482	0.157	152.344	29.633	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	14.44											Y	1	0	X	B	708	FAINT	
5741	Spectrogram 1	1	1831.547657	1831.69841	72.289	1084.337	1012.048	0.1508	87.891	32.334	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	16.2											Y	1	0	X	B	708	FAINT	
5742	Spectrogram 1	1	1832.584089	1832.741124	93.976	1069.88	975.904	0.157	128.906	33.3704	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	16.29											Y	1	0	X	B	708	FAINT	
5743	Spectrogram 1	1	1833.834089	1834.210973	57.831	1106.024	1048.193	0.3769	64.453	34.6204	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	16.33											Y	1	1	X	BY	708	FAINT	
5744	Spectrogram 1	1	1835.259968	1835.611727	122.892	968.675	845.783	0.3518	386.719	36.0463	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	16.71											Y	2	0	X	B	708	FAINT	
5745	Spectrogram 1	1	1834.801425	1834.971023	231.325	816.867	585.542	0.1696	392.578	35.5877	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	10.54											Y	1	0	X	B	708	FAINT	
5746	Spectrogram 1	1	1833.017506	1833.356702	665.06	1026.506	361.446	0.3392	802.734	33.8038	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	13.38											X	0	1	X	Y	708	FAINT	
5747	Spectrogram 1	1	1843.222046	1843.385363	36.145	809.639	773.494	0.1633	158.203	44.0084	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	18.04											Y	1	0	X	B	709		
5749	Spectrogram 1	1	1843.617775	1843.793654	0	650.602	650.602	0.1759	5.859	44.4041	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	20.15											Y	1	0	X	B	709		
5750	Spectrogram 1	1	1844.070036	1844.509735	57.831	1026.506	968.675	0.4397	152.344	44.8564	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	17.95											Y	1	1	X	BY	709		
5751	Spectrogram 1	1	1845.376569	1845.558729	65.06	990.361	925.301	0.1822	82.031	46.1629	1208234033.020813162219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020813162219.wav	18.92											Y	1	0	X	B	709		
5752	Spectrogram 1	1	2108.130081	2108.620031	7.229	1438.554	1431.325	0.4899	11.719	8.9644	1208234033.020818172219.wav	D:\ringed-seal-data\Pearce_Point_2018_2019\1208234033.020818172219.wav	15.77											Y	1	1	X	BY	781		
