Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Annotator	species	SNR NIST Quick (dB FS)	certainty	comment	type	WH ID	WH Comment	NEW analysis
84	Spectrogram 1	1	251.777	252.2629	0.486	251.777	717.5	837.7	820.3	1208533023.040419065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040419065015.wav	X			ND	RS	13.3	low			RS		
85	Spectrogram 1	1	274.621	275.2204	0.599	274.621	1100.2	1491.6	1136.7	1208533023.040419065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040419065015.wav	X			ND	RS	10.83	low			RS		
88	Spectrogram 1	1	308.6966667	309.0342667	0.338	8.826	511.1	798.5	644.5	1208533023.040423205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040423205015.wav	X			ND	RS	11.01	medium			RS		
119	Spectrogram 1	1	773.1816667	773.3957667	0.214	173.324	239.5	790.4	328.1	1208533023.040504065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040504065015.wav	Y	bark		ND	RS	13.7	low	ww?		RS		
134	Spectrogram 1	1	1129.599	1130.391	0.792	229.893	1012	1143.7	1078.1	1208533023.040508205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040508205015.wav	X			ND	RS	11.26	Low			RS		
150	Spectrogram 1	1	1444.745333	1445.490633	0.745	245.07	820.4	988	878.9	1208533023.040511185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040511185015.wav	X			ND	RS	8.04	Low			RS		
151	Spectrogram 1	1	1445.544333	1446.032133	0.488	245.869	9.9	596	11.7	1208533023.040511185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040511185015.wav	X			ND	RS	31.24	Low		Bark	RS		
153	Spectrogram 1	1	1562.800667	1563.196567	0.396	63.241	653.9	1864.2	855.5	1208533023.040512045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040512045015.wav	X			ND	RS	11.87	medium	ice?		RS	ice in background	
154	Spectrogram 1	1	1572.652667	1585.649567	12.997	73.093	458.9	2065	843.8	1208533023.040512045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040512045015.wav	X			ND	RS	13.4	medium	ice?		RS	ice in background	
157	Spectrogram 1	1	1682.893667	1683.404267	0.511	183.334	562.1	929.3	785.2	1208533023.040512045015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040512045015.wav	X			ND	RS	12.68	low	ice?		RS		
245	Spectrogram 1	1	1991.918333	1995.621733	3.703	192.446	485.7	971.4	714.8	1208533023.040605185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040605185015.wav	X	bark? yelp?	they sound like barks but are high frequency	ND	RS	11.43	low	ice?		X		
247	Spectrogram 1	1	2076.126333	2076.464133	0.338	276.654	405.7	1348.6	1148.4	1208533023.040605185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040605185015.wav	X			ND	RS	12.26	low	ice?		RS		
248	Spectrogram 1	1	2090.165333	2091.562833	1.398	290.693	640	1080	902.3	1208533023.040605185015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040605185015.wav	X			ND	RS	11.73	low	ice?		RS		
295	Spectrogram 1	1	2278.206	2278.5931	0.387	178.753	530.8	778.8	714.8	1208533023.040619225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040619225015.wav	X			ND	RS	12.15	low	ww?		RS		
296	Spectrogram 1	1	2294.28	2295.2764	0.996	194.827	438.5	946.2	621.1	1208533023.040619225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040619225015.wav	X			ND	RS	13.45	low	ww? ice?		RS		
303	Spectrogram 1	1	2608.260667	2609.075967	0.815	208.855	571.2	1863.5	1183.6	1208533023.040622105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040622105015.wav	X			ND	RS	11.96	low			RS		
304	Spectrogram 1	1	2613.341667	2613.679267	0.338	213.936	571.2	1534.6	1007.8	1208533023.040622105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040622105015.wav	X			ND	RS	11.58	low	ice?		RS		
388	Spectrogram 1	1	2759.481	2762.2809	2.8	60.245	125.2	1440	890.6	1208533023.040718165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	Y	"bark, yelp"		ND	RS	12.62	low	ice?		RS		
389	Spectrogram 1	1	2773.505	2776.8237	3.319	74.269	318.3	1184.3	433.6	1208533023.040718165015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040718165015.wav	X	"bark, yelp"	very faint	ND	RS	11.66	low	ice?		RS		
539	Spectrogram 1	1	3292.372667	3292.578667	0.206	293.224	344.3	704.9	433.6	1208533023.040811105015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040811105015.wav	X			ND	RS	16.07	Low			RS		
547	Spectrogram 1	1	3420.216667	3420.908667	0.692	121.147	301.2	549.2	363.3	1208533023.040813025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040813025015.wav	X			ND	RS	11.92	Low			RS		
549	Spectrogram 1	1	3812.22	3813.06	0.84	213.218	767.7	1015.7	820.3	1208533023.040813225015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040813225015.wav	X			ND	RS	9.93	medium			RS		
592	Spectrogram 1	1	4084.574333	4085.035333	0.461	185.666	279.7	650.4	503.9	1208533023.040819085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040819085015.wav	X			ND	RS	10.95	Low			RS		
611	Spectrogram 1	1	4403.626	4404.104	0.478	204.802	720.3	1783.2	1066.4	1208533023.040821205015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040821205015.wav	X			ND	RS	10.19	Low			RS		
754	Spectrogram 1	1	4714.804667	4715.945667	1.141	216.123	444.7	865.6	574.2	1208533023.040916065015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040916065015.wav	X			ND	RS	13.53	Low	ww?		RS		
849	Spectrogram 1	1	4815.356333	4815.726333	0.37	16.836	508.9	875.7	609.4	1208533023.040928085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040928085015.wav	X			ND	RS	13.56	low			RS		
850	Spectrogram 1	1	4817.250333	4817.802333	0.552	18.73	455.6	763.3	539.1	1208533023.040928085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040928085015.wav	X			ND	RS	11.32	low			RS		
852	Spectrogram 1	1	4828.434333	4832.107333	3.673	29.914	710.1	1171.6	949.2	1208533023.040928085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040928085015.wav	X			ND	RS	11.24	low			RS		
855	Spectrogram 1	1	4843.538333	4848.701333	5.163	45.018	218.9	739.6	632.8	1208533023.040928085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040928085015.wav	X	bark	too faint for detector	ND	RS	13.18	low			RS		
856	Spectrogram 1	1	4881.848333	4884.871333	3.023	83.328	514.8	1414.2	691.4	1208533023.040928085015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.040928085015.wav	X	yelp		ND	RS	11.18	low			RS		
1090	Spectrogram 1	1	5381.278333	5391.193333	9.915	282.793	125.2	2134.7	304.7	1208533023.041001155015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041001155015.wav	X	yelps		ND	RS	14.97				RS		
1246	Spectrogram 1	1	5487.839333	5488.449333	0.61	89.421	758.8	1335.3	972.7	1208533023.041002025015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041002025015.wav	X			ND	RS	11.62			rs	RS		
2242	Spectrogram 1	1	5910.614	5914.641	4.027	212.207	1059.9	2041.9	1605.5	1208533023.041012005015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041012005015.wav	X			ND	RS	11.19				RS		yes
2318	Spectrogram 1	1	6282.661	6287.987	5.326	284.345	305.4	2221.6	855.5	1208533023.041012115015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041012115015.wav	X	yelp		ND	RS	11.86				RS		yes
2320	Spectrogram 1	1	6407.182667	6409.751667	2.569	108.947	282.9	1184.7	1078.1	1208533023.041012125015.wav	D:\Cape_Bathurst_300_2018_2019\1208533023.041012125015.wav	X		yelps and faint	ND	RS	11.03	low			RS		
