Selection	View	Channel	Begin Time (s)	End Time (s)	Delta Time (s)	File Offset (s)	Low Freq (Hz)	High Freq (Hz)	Peak Freq (Hz)	Begin File	Begin Path	Keep for detector? Y/X	Call type	AR comment	Annotator	species	certainty	SNR NIST Quick (dB FS)	comment	type	WH ID	WH Comment
18	Spectrogram 1	1	120.396	120.76041	0.364	120.396	688.6	772.5	714.8	1208795168.700215064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700215064318.wav	X			ND	RS		10.87			RS	
35	Spectrogram 1	1	300.0943333	304.3741933	4.28	0.217	622.8	1604.8	972.7	1208795168.700219104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700219104318.wav	X			ND	RS		12.3	a seal?		RS	
38	Spectrogram 1	1	439.9733333	440.2757133	0.302	140.096	796.4	1018	972.7	1208795168.700219104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700219104318.wav	X			ND	RS		11.93			RS	
39	Spectrogram 1	1	578.8123333	581.0297933	2.217	278.935	1053.9	1257.5	1148.4	1208795168.700219104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700219104318.wav	X			ND	RS		10.76			RS	
42	Spectrogram 1	1	849.8496667	853.6733867	3.824	250.005	893.2	1106.8	996.1	1208795168.700220064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700220064318.wav	X			ND	RS		10.9			RS	
60	Spectrogram 1	1	1052.721667	1052.979267	0.258	153.043	849.3	993.4	925.8	1208795168.700224204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700224204318.wav	X			ND	RS		12.92			RS	
62	Spectrogram 1	1	1162.704667	1163.018567	0.314	263.026	422.2	705.3	585.9	1208795168.700224204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700224204318.wav	X			ND	RS		12.74			RS	
65	Spectrogram 1	1	1430.335333	1431.905133	1.57	230.684	139.1	784.8	339.8	1208795168.700225064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700225064318.wav	Y	bark	Not super defined but visible	ND	RS		12.59			RS	
109	Spectrogram 1	1	1725.092333	1725.599533	0.507	225.456	193.5	1155.6	550.8	1208795168.700307064318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700307064318.wav	Y	bark		ND	RS		12.35			RS	
115	Spectrogram 1	1	1936.067333	1936.630833	0.563	136.581	1269.5	1628.1	1511.7	1208795168.700310154318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700310154318.wav	X			ND	RS		11.34			RS	
119	Spectrogram 1	1	2185.773	2186.2077	0.435	86.301	500.9	2100.6	679.7	1208795168.700311114318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700311114318.wav	X	Yelp?		ND	RS		12.32			RS	
133	Spectrogram 1	1	2538.142667	2539.849267	1.707	138.724	398.5	1132.8	410.2	1208795168.700315174318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700315174318.wav	X			ND	RS		13.09			RS	
140	Spectrogram 1	1	2962.379667	2963.047867	0.668	262.998	284.6	609.1	539.1	1208795168.700318054318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700318054318.wav	X			ND	RS		10.45			RS	
143	Spectrogram 1	1	3027.477333	3028.064933	0.588	28.115	614.8	745.7	656.2	1208795168.700319014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700319014318.wav	X			ND	RS		12.75			RS	
144	Spectrogram 1	1	3145.838333	3149.927633	4.089	146.476	301.7	1406.1	527.3	1208795168.700319014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700319014318.wav	X			ND	RS		12.3			RS	
147	Spectrogram 1	1	3464.383667	3466.162667	1.779	165.158	28.5	1901.3	175.8	1208795168.700319214318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700319214318.wav	X	groans?		ND	RS		21.79			X	
148	Spectrogram 1	1	3681.219	3681.71	0.491	82.156	421.3	853.9	585.9	1208795168.700320174318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700320174318.wav	X			ND	RS		12.27			RS	
174	Spectrogram 1	1	3987.096333	3987.378133	0.282	88.076	187.9	1650.9	644.5	1208795168.700325174318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700325174318.wav	X			ND	RS		12.81			RS	
193	Spectrogram 1	1	4436.526667	4441.107067	4.58	237.561	774.2	1394.7	1054.7	1208795168.700331034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700331034318.wav	X			ND	RS		11.99			RS	
198	Spectrogram 1	1	4710.364667	4712.570367	2.206	211.424	579.6	1239.8	1078.1	1208795168.700331234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700331234318.wav	X			ND	RS		10.87			RS	
200	Spectrogram 1	1	4879.611	4880.6816	1.071	80.802	227.7	2322.6	492.2	1208795168.700401094318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700401094318.wav	Y	bark	good one!	ND	RS		14.51				
210	Spectrogram 1	1	5310.551	5312.4266	1.876	211.777	85.4	831.1	316.4	1208795168.700405034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700405034318.wav	Y	bark	looks promising but I can't hear anything	ND	RS		15.05			Y	
211	Spectrogram 1	1	5347.546	5351.0799	3.534	248.772	85.4	916.5	328.1	1208795168.700405034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700405034318.wav	Y	bark	I can't hear them though	ND	RS		14.56				
216	Spectrogram 1	1	5687.840333	5689.707933	1.868	289.11	170.8	723	410.2	1208795168.700405234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700405234318.wav	Y	bark	I can't hear them	ND	RS		13.95				
225	Spectrogram 1	1	5885.549667	5890.178367	4.629	186.91	222	426.9	339.8	1208795168.700410034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700410034318.wav	X			ND	RS		10.96			RS	
235	Spectrogram 1	1	6090.683	6091.2626	0.58	92.15	415.6	996.2	726.6	1208795168.700413014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700413014318.wav	X			ND	RS		11.86			RS	
246	Spectrogram 1	1	6566.685	6572.3682	5.683	268.243	148.6	1238.5	175.8	1208795168.700416094318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700416094318.wav	X			ND	RS	low	13.67			RS	
258	Spectrogram 1	1	6667.943667	6673.812067	5.868	69.606	159.6	660.5	363.3	1208795168.700420034318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700420034318.wav	Y	bark	faint	ND	RS		11.95				
259	Spectrogram 1	1	7193.438	7193.7761	0.338	295.232	765.1	891.7	855.5	1208795168.700420134318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700420134318.wav	X			ND	RS		17.2			RS	
260	Spectrogram 1	1	7204.285	7204.5587	0.274	6.11	682.6	990.8	867.2	1208795168.700420234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700420234318.wav	X			ND	RS		13.89			RS	
262	Spectrogram 1	1	7475.271	7477.1869	1.916	277.096	401.8	968.8	597.7	1208795168.700420234318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700420234318.wav	X			ND	RS		11.22			RS	
270	Spectrogram 1	1	7733.061667	7736.571467	3.51	234.957	159.6	1238.5	375	1208795168.700423114318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700423114318.wav	Y	"bark, yelp"	I can hear those	ND	RS	medium	13.27			RS	
298	Spectrogram 1	1	7959.260333	7960.588533	1.328	161.224	489.9	1711.9	1394.5	1208795168.700429014318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700429014318.wav	X			ND	RS		13.86			RS	
307	Spectrogram 1	1	8123.888333	8124.339133	0.451	25.994	836.7	1167	984.4	1208795168.700501214318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700501214318.wav	X			ND	RS		10.95			RS	
327	Spectrogram 1	1	8619.305333	8619.643433	0.338	221.463	319.3	946.8	421.9	1208795168.700506204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700506204318.wav	Y	bark		ND	RS		11.23			RS	
330	Spectrogram 1	1	8785.323333	8785.500433	0.177	87.573	121.1	1056.9	316.4	1208795168.700507164318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700507164318.wav	Y	bark		ND	RS		16.35			RS	
335	Spectrogram 1	1	9231.662333	9240.807033	9.145	233.961	286.2	1034.9	867.2	1208795168.700508124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700508124318.wav	X			ND	RS		11.8			RS	
363	Spectrogram 1	1	9420.477667	9421.966967	1.489	122.863	132.1	677.1	269.5	1208795168.700516004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700516004318.wav	X	bark?	too faint	ND	RS		12.3				
370	Spectrogram 1	1	9646.024667	9648.431667	2.407	48.559	88.1	935.8	187.5	1208795168.700518024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700518024318.wav	Y	"bark, yelp, groan"	"in noise, but the bark is clear"	ND	RS		14.88			RS	
392	Spectrogram 1	1	9944.619333	9945.585333	0.966	47.286	115.6	1194.5	164.1	1208795168.700521004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700521004318.wav	Y	bark	good!	ND	RS		19.79				
395	Spectrogram 1	1	10237.16	10238.7941	1.634	39.875	66.1	985.3	410.2	1208795168.700521204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700521204318.wav	Y	"bark, yelp"		ND	RS		16.3				
411	Spectrogram 1	1	10717.26167	10717.52727	0.266	220.068	77.1	1139.5	175.8	1208795168.700523024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	Y	bark		ND	RS		15.92			RS	
412	Spectrogram 1	1	10725.65167	10728.40477	2.753	228.458	60.5	1249.5	234.4	1208795168.700523024318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700523024318.wav	Y	bark		ND	RS		14.89			RS	
413	Spectrogram 1	1	11050.49133	11050.67643	0.185	253.431	589	902.8	750	1208795168.700523124318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700523124318.wav	X			ND	RS		11.91			RS	
414	Spectrogram 1	1	11167.856	11170.7781	2.922	70.941	82.6	611	152.3	1208795168.700523224318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700523224318.wav	Y	bark	faint series	ND	RS		14.01				
417	Spectrogram 1	1	11511.75833	11520.64543	8.887	114.867	88.1	1084.4	281.2	1208795168.700524184318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700524184318.wav	Y	"bark, yelp"	faint	ND	RS		13.6				
420	Spectrogram 1	1	11741.91567	11742.85747	0.942	45.059	88.1	363.3	164.1	1208795168.700525144318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	X			ND	RS		13.57			RS	
421	Spectrogram 1	1	11894.01967	11895.71817	1.699	197.163	115.6	908.3	375	1208795168.700525144318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700525144318.wav	Y	"bark, yelp"	is this too faint for the detector?	ND	RS		14.35			Y	
424	Spectrogram 1	1	12063.559	12064.9516	1.393	66.742	110.1	1067.9	210.9	1208795168.700526004318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700526004318.wav	X	"bark, yelp"	too faint for detector	ND	RS		14.7			RS	
427	Spectrogram 1	1	12549.29033	12560.72933	11.439	252.532	759.6	1167	984.4	1208795168.700526104318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700526104318.wav	X			ND	RS		9.87			RS	
429	Spectrogram 1	1	12706.619	12708.2773	1.658	109.876	16.5	1089.9	23.4	1208795168.700526204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	Y	bark	faint	ND	RS		16.28				
431	Spectrogram 1	1	12822.435	12823.7069	1.272	225.692	148.6	627.5	281.2	1208795168.700526204318.wav	F:\Cape_Bathurst_50_2018_2019\1208795168.700526204318.wav	Y	bark	faint	ND	RS		12.7				
